OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,HASC_2,CCN_2,CCA_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,Shape__Area,Shape__Length,ID,sourceCountry,ENRICH_FID,aggregationMethod,HasData,MALES_CY,FEMALES_CY,FAGE01_CY,FAGE02_CY,FAGE03_CY,FAGE04_CY,FAGE05_CY,MAGE01_CY,MAGE02_CY,MAGE03_CY,MAGE04_CY,MAGE05_CY,PAGE01_CY,PAGE02_CY,PAGE03_CY,PAGE04_CY,PAGE05_CY,TOTHH_CY,AVGHHSZ_CY,InPoly_FID,SimPgnFlag,MaxSimpTol,MinSimpTol,Shape__Area_2,Shape__Length_2
1,250,VNM,Vietnam,1,Đà Nẵng,1,Cẩm Lệ,VN.DA.CL,,,Quận,Urban District,,Cam Le,0.00199479,0.41779118,0,VN,1,BlockApportionment:VN.Districts,1,49582,51697,11313,15647,11989,7780,4967,12255,14401,12558,7156,3212,23569,30048,24547,14936,8179,25930,3.9,1,0,4.4966102304e-05,4.4966102304e-05,0.001994912429723,0.417451934180644
2,250,VNM,Vietnam,1,Đà Nẵng,2,Hải Châu,VN.DA.HC,,,Huyện,District,,Hai Chau,0.0017288,0.28543214,1,VN,2,BlockApportionment:VN.Districts,1,87505,93505,17193,29977,20625,15832,9878,18923,26922,20261,14693,6707,36116,56898,40886,30525,16585,45348,4,2,0,4.4966102304e-05,4.4966102304e-05,0.001728347981043,0.285247128436123
3,250,VNM,Vietnam,1,Đà Nẵng,3,Hoà Vang,VN.DA.HV,,,Huyện,District,,Hoa Vang,0.06305705,1.6319328,2,VN,3,BlockApportionment:VN.Districts,1,85301,86267,21880,22480,19826,11910,10170,23748,24387,21212,10174,5780,45629,46868,41038,22084,15950,43984,3.9,3,0,4.4966102304e-05,4.4966102304e-05,0.063056985603112,1.63012657704295
4,250,VNM,Vietnam,1,Đà Nẵng,4,Liên Chiểu,VN.DA.LC,,,Huyện,District,,Lien Chieu,0.00696852,0.75836211,3,VN,4,BlockApportionment:VN.Districts,1,74756,75208,15012,32357,15168,8013,4657,16239,31579,16209,7716,3013,31251,63936,31378,15729,7670,39795,3.8,4,0,4.4966102304e-05,4.4966102304e-05,0.006828085648749,0.70558891500175
5,250,VNM,Vietnam,1,Đà Nẵng,5,Ngũ Hành Sơn,VN.DA.NH,,,Huyện,District,,Ngu Hanh Son,0.00324286,0.3570655,4,VN,5,BlockApportionment:VN.Districts,1,36274,38093,8692,12976,8109,4982,3334,9274,12215,8361,4667,1757,17967,25191,16470,9649,5091,19540,3.8,5,0,4.4966102304e-05,4.4966102304e-05,0.003242713802251,0.357034089877147
6,250,VNM,Vietnam,1,Đà Nẵng,6,Sơn Trà,VN.DA.ST,,,Huyện,District,,Son Tra,0.0048405,0.57525807,5,VN,6,BlockApportionment:VN.Districts,1,66555,69082,15589,22301,16145,9242,5806,16984,20454,17180,8294,3643,32572,42755,33325,17537,9449,31933,4.2,6,0,4.4966102304e-05,4.4966102304e-05,0.004837039569793,0.563817245491786
7,250,VNM,Vietnam,1,Đà Nẵng,7,Thanh Khê,VN.DA.TK,,,Huyện,District,,Thanh Khe,0.0007821,0.20130932,6,VN,7,BlockApportionment:VN.Districts,1,97259,101119,21161,30721,23952,15551,9733,23288,28758,24117,14817,6279,44449,59479,48069,30368,16012,49467,4,7,0,4.4966102304e-05,4.4966102304e-05,0.000782165776059,0.201194542807703
8,250,VNM,Vietnam,2,Đồng Nai,8,Định Quán,VN.DN.DQ,,,Huyện,District,,Dinh Quan,0.08066144,1.67472054,7,VN,8,BlockApportionment:VN.Districts,1,109845,112156,31302,28592,24833,17581,9848,32401,30768,23771,16087,6817,63703,59361,48604,33668,16665,54622,4.1,8,0,4.4966102304e-05,4.4966102304e-05,0.080661719182672,1.67223167873807
9,250,VNM,Vietnam,2,Đồng Nai,9,Bien Hoa,VN.DN.BH,,,Than Pho,City,,,0.01274135,0.63087003,8,VN,9,BlockApportionment:VN.Districts,1,445437,489536,98541,180146,115250,63853,31747,103934,148983,115631,57512,19377,202475,329129,230881,121365,51124,257326,3.6,9,0,4.4966102304e-05,4.4966102304e-05,0.012740848459998,0.630443011690015
10,250,VNM,Vietnam,2,Đồng Nai,10,Cẩm Mỹ,VN.DN.CM,,,Huyện,District,,,0.0384875,1.49448534,9,VN,10,BlockApportionment:VN.Districts,1,80089,81025,21803,22102,18244,12382,6492,22571,23679,17176,11943,4720,44375,45781,35420,24326,11213,37861,4.3,10,0,4.4966102304e-05,4.4966102304e-05,0.038487830456234,1.4904996505192
11,250,VNM,Vietnam,2,Đồng Nai,11,Long Khánh,VN.DN.LK,,,Huyện,District,,Long Khanh,0.01583982,0.85518416,10,VN,11,BlockApportionment:VN.Districts,1,61452,64566,15148,16563,15541,10971,6343,15839,16916,14628,10014,4055,30987,33479,30169,20985,10398,31812,4,11,0,4.4966102304e-05,4.4966102304e-05,0.015839914602566,0.853899401031223
12,250,VNM,Vietnam,2,Đồng Nai,12,Long Thành,VN.DN.LT,,,Huyện,District,,Long Thanh,0.04427181,1.39003987,11,VN,12,BlockApportionment:VN.Districts,1,112006,115349,26452,35362,27057,16591,9886,27727,36319,27474,14453,6031,54179,71682,54532,31045,15917,58671,3.9,12,0,4.4966102304e-05,4.4966102304e-05,0.044267921080746,1.38057330707657
13,250,VNM,Vietnam,2,Đồng Nai,13,Nhơn Trạch,VN.DN.NT,,,Huyện,District,,Nhon Trach,0.0297339,1.60251984,12,VN,13,BlockApportionment:VN.Districts,1,90371,95222,19152,35713,20965,11653,7738,20001,33469,22306,9872,4722,39153,69182,43272,21525,12461,51784,3.6,13,0,4.4966102304e-05,4.4966102304e-05,0.029721584090794,1.53285615358934
14,250,VNM,Vietnam,2,Đồng Nai,14,Tân Phú,VN.DN.TP,,,Huyện,District,,Tan Phu,0.06357147,1.98460046,13,VN,14,BlockApportionment:VN.Districts,1,89865,90486,25030,23625,19967,13947,7916,26062,25754,19463,13125,5461,51093,49379,39430,27073,13376,43821,4.1,14,0,4.4966102304e-05,4.4966102304e-05,0.063570687630772,1.98245431798401
15,250,VNM,Vietnam,2,Đồng Nai,15,Thống Nhất,VN.DN.TN,,,Huyện,District,,Thong Nhat,0.0204292,1.04404086,14,VN,15,BlockApportionment:VN.Districts,1,97092,101355,25591,28586,22751,15295,9132,26318,28772,22203,14035,5763,51909,57358,44954,29330,14895,46343,4.3,15,0,4.4966102304e-05,4.4966102304e-05,0.020429151974213,1.04178132392126
16,250,VNM,Vietnam,2,Đồng Nai,16,Trảng Bom,VN.DN.TB,,,Huyện,District,,Trang Bom,0.02748603,1.1149933,15,VN,16,BlockApportionment:VN.Districts,1,142779,151343,35382,54867,31910,18825,10359,37039,49028,32503,17300,6908,72422,103894,64413,36125,17268,73820,4,16,0,4.4966102304e-05,4.4966102304e-05,0.027486345584066,1.11389911646322
17,250,VNM,Vietnam,2,Đồng Nai,17,Vĩnh Cửu,VN.DN.VC,,,Huyện,District,,Vinh Cuu,0.08939965,2.51450326,16,VN,17,BlockApportionment:VN.Districts,1,69202,73294,16685,23482,16696,10783,5648,17629,21391,16301,10059,3822,34314,44873,32997,20842,9470,37416,3.8,17,0,4.4966102304e-05,4.4966102304e-05,0.089400067619295,2.51307144546285
18,250,VNM,Vietnam,2,Đồng Nai,18,Xuân Lộc,VN.DN.XL,,,Huyện,District,,Xuan Loc,0.05991826,1.66807971,17,VN,18,BlockApportionment:VN.Districts,1,122355,120060,33777,30625,27225,17498,10935,35056,34359,27978,16862,8100,68833,64984,55203,34360,19036,57774,4.2,18,0,4.4966102304e-05,4.4966102304e-05,0.059918003671783,1.66534396219109
19,250,VNM,Vietnam,3,Đồng Tháp,19,Cao Lãnh,VN.DT.CH,,,Huyện,District,,Cao Lanh,0.04045234,1.23193295,18,VN,19,BlockApportionment:VN.Districts,1,79305,84445,17022,26544,19623,13274,7983,18298,24854,19488,11313,5352,35319,51398,39111,24587,13335,43384,3.8,19,0,4.4966102304e-05,4.4966102304e-05,0.040451438012042,1.23173887730421
20,250,VNM,Vietnam,3,Đồng Tháp,20,Cao Lanh,VN.DT.CH,,,Huyện,District,,,0.00889631,0.46902685,19,VN,20,BlockApportionment:VN.Districts,1,103988,103066,24846,27871,24345,16076,9928,26793,30999,25361,13861,6974,51638,58870,49706,29938,16902,50316,4.1,20,0,4.4966102304e-05,4.4966102304e-05,0.008897530677586,0.468970844036102
21,250,VNM,Vietnam,3,Đồng Tháp,21,Châu Thành,VN.DT.CT,,,Huyện,District,,Chau Thanh,0.02043737,0.69843906,20,VN,21,BlockApportionment:VN.Districts,1,78040,78307,17383,18712,18991,14435,8787,18316,21088,20103,12585,5947,35699,39800,39094,27020,14735,40304,3.9,21,0,4.4966102304e-05,4.4966102304e-05,0.020437413683567,0.698239636987884
22,250,VNM,Vietnam,3,Đồng Tháp,22,Hồng Ngự,VN.DT.HN,,,Huyện,District,,Hong Ngu,0.02742471,0.93205348,21,VN,22,BlockApportionment:VN.Districts,1,109296,110135,25325,30031,26958,17205,10617,27124,32303,27072,14272,8526,52449,62334,54030,31476,19143,56389,3.9,22,0,4.4966102304e-05,4.4966102304e-05,0.027424609183527,0.931984733408209
23,250,VNM,Vietnam,3,Đồng Tháp,23,Lai Vung,VN.DT.LV,,,Huyện,District,,Lai Vung,0.01967523,0.79731868,22,VN,23,BlockApportionment:VN.Districts,1,83349,82080,18943,21047,20088,13674,8326,20426,23753,21230,11538,6402,39370,44800,41318,25213,14728,40683,4.1,23,0,4.4966102304e-05,4.4966102304e-05,0.019674293840922,0.797188572744207
24,250,VNM,Vietnam,3,Đồng Tháp,24,Lấp Vò,VN.DT.LP,,,Huyện,District,,Lap Vo,0.0203076,0.75085489,23,VN,24,BlockApportionment:VN.Districts,1,92740,93619,20804,24588,22671,15861,9696,22627,26920,23213,12899,7081,43432,51508,45883,28759,16777,44633,4.2,24,0,4.4966102304e-05,4.4966102304e-05,0.020307111399916,0.750570635466945
25,250,VNM,Vietnam,3,Đồng Tháp,25,Sa Đéc,VN.DT.SD,,,Thi xa,Township,,Sa Dec,0.00490697,0.38712685,24,VN,25,BlockApportionment:VN.Districts,1,52577,55351,11619,13476,13800,10503,5953,12201,14125,13663,8762,3826,23820,27601,27463,19265,9779,28623,3.8,25,0,4.4966102304e-05,4.4966102304e-05,0.004907029006063,0.386845298878354
26,250,VNM,Vietnam,3,Đồng Tháp,26,Tân Hồng,VN.DT.TH,,,Huyện,District,,Tan Hong,0.02568441,0.71542268,25,VN,26,BlockApportionment:VN.Districts,1,49794,48182,12819,14272,11425,6425,3241,13812,15328,11899,6034,2722,26631,29600,23324,12459,5963,25286,3.9,26,0,4.4966102304e-05,4.4966102304e-05,0.025682813194294,0.715372729873274
27,250,VNM,Vietnam,3,Đồng Tháp,27,Tam Nông,VN.DT.TN,,,Huyện,District,,Tam Nong,0.03902358,0.86541437,26,VN,27,BlockApportionment:VN.Districts,1,54512,52849,13695,15072,12519,7533,4031,15032,16347,12898,6679,3556,28727,31420,25417,14212,7586,27282,3.9,27,0,4.4966102304e-05,4.4966102304e-05,0.039024790204621,0.865365280493898
28,250,VNM,Vietnam,3,Đồng Tháp,28,Tháp Mười,VN.DT.TM,,,Huyện,District,,Thap Muoi,0.04418764,1.15344278,27,VN,28,BlockApportionment:VN.Districts,1,73061,71147,17746,20787,17496,9782,5336,19026,23098,18139,8920,3878,36772,43885,35635,18702,9214,34914,4.1,28,0,4.4966102304e-05,4.4966102304e-05,0.04418912690835,1.15338255641208
29,250,VNM,Vietnam,3,Đồng Tháp,29,Thanh Bình,VN.DT.TB,,,Huyện,District,,Thanh Binh,0.02837824,0.85435365,28,VN,29,BlockApportionment:VN.Districts,1,79899,79191,19351,21948,19026,11618,7249,20729,23651,19974,9584,5961,40080,45598,39000,21202,13210,40756,3.9,29,0,4.4966102304e-05,4.4966102304e-05,0.028378780370076,0.854228037762692
30,250,VNM,Vietnam,4,Đăk Nông,30,Đăk Glong,,,,Huyện,District,,,0.14349316,2.92309235,29,VN,30,BlockApportionment:VN.Districts,1,52037,48261,16378,15281,9927,4623,2053,16691,16540,12171,5187,1447,33069,31821,22098,9811,3500,24480,4.1,30,0,4.4966102304e-05,4.4966102304e-05,0.143492801456773,2.92141878227676
31,250,VNM,Vietnam,4,Đăk Nông,31,Đăk Mil,VN.DO.DM,,,Huyện,District,,Dak Mil,0.0566757,1.48730226,30,VN,31,BlockApportionment:VN.Districts,1,51641,51897,18426,13872,10866,5754,2978,18511,14163,11441,5405,2121,36937,28034,22307,11159,5100,23770,4.4,31,0,4.4966102304e-05,4.4966102304e-05,0.056675667950572,1.48722019602898
32,250,VNM,Vietnam,4,Đăk Nông,32,Đăk R'Lấp,VN.DO.DR,,,Huyện,District,,Dak Rlap,0.06620783,1.6389785,31,VN,32,BlockApportionment:VN.Districts,1,51188,49115,16587,13750,11377,5397,2003,16927,14116,12825,5757,1563,33514,27866,24202,11155,3566,25163,4,32,0,4.4966102304e-05,4.4966102304e-05,0.066207957701181,1.63879332205127
33,250,VNM,Vietnam,4,Đăk Nông,33,Cư Jút,VN.DO.CJ,,,Huyện,District,,Cu Jut,0.06011231,1.30168144,32,VN,33,BlockApportionment:VN.Districts,1,26710,27500,8677,7801,6119,3204,1699,8835,7805,5993,3004,1073,17512,15606,12112,6208,2773,12654,4.3,33,0,4.4966102304e-05,4.4966102304e-05,0.06011232256219,1.30161701054911
34,250,VNM,Vietnam,4,Đăk Nông,34,Dak Song,VN.DO.DS,,,Huyện,District,,,0.06676431,1.40201709,33,VN,34,BlockApportionment:VN.Districts,1,33673,32686,11700,9465,6953,3309,1258,11840,9487,8011,3334,1002,23540,18952,14964,6643,2260,16221,4.1,34,0,4.4966102304e-05,4.4966102304e-05,0.066764058240665,1.40198935983086
35,250,VNM,Vietnam,4,Đăk Nông,35,Krông Nô,VN.DO.KN,,,Huyện,District,,Krong No,0.0673395,1.82903757,34,VN,35,BlockApportionment:VN.Districts,1,33860,33290,11332,9581,7060,3496,1821,11487,10213,7595,3366,1198,22819,19794,14654,6862,3020,15775,4.3,35,0,4.4966102304e-05,4.4966102304e-05,0.06733958693701,1.82899432055936
36,250,VNM,Vietnam,4,Đăk Nông,36,Tuy Đức,,,,Huyện,District,,,0.07936156,1.77545841,35,VN,36,BlockApportionment:VN.Districts,1,16220,15265,5640,4631,3032,1362,600,5567,5040,3709,1440,463,11207,9672,6741,2802,1063,7638,4.1,36,0,4.4966102304e-05,4.4966102304e-05,0.07936247805435,1.77536522216332
37,250,VNM,Vietnam,5,Đắk Lắk,37,Buôn Đôn,VN.DC.BD,,,Huyện,District,,Buon Don,0.11727545,2.18072179,36,VN,37,BlockApportionment:VN.Districts,1,32198,31251,9688,8947,6697,3784,2135,10132,9983,6978,3638,1468,19820,18930,13675,7422,3603,14569,4.4,37,0,4.4966102304e-05,4.4966102304e-05,0.117276016921892,2.18067849871246
38,250,VNM,Vietnam,5,Đắk Lắk,38,Buon Ma Thuot,VN.DC.BM,,,Than Pho,City,,,0.03163056,1.24814742,37,VN,38,BlockApportionment:VN.Districts,1,199394,203600,51873,62391,45713,29011,14611,55219,60460,45655,27931,10129,107092,122851,91368,56942,24740,100162,4,38,0,4.4966102304e-05,4.4966102304e-05,0.031630680527655,1.24813000473474
39,250,VNM,Vietnam,5,Đắk Lắk,39,Cư M'gar,VN.DC.CM,,,Huyện,District,,Cu M'gar,0.06865973,1.60283484,38,VN,39,BlockApportionment:VN.Districts,1,89065,88074,29439,24797,18985,9254,5598,30798,25783,19623,9011,3850,60238,50580,38608,18265,9449,38655,4.6,39,0,4.4966102304e-05,4.4966102304e-05,0.068659594504993,1.60280076767033
40,250,VNM,Vietnam,5,Đắk Lắk,40,Ea H'leo,VN.DC.EH,,,Huyện,District,,Ea H'leo,0.11182921,1.92935777,39,VN,40,BlockApportionment:VN.Districts,1,66051,63906,21707,17763,14084,6827,3525,22609,18664,15222,7118,2438,44316,36428,29306,13945,5962,30557,4.3,40,0,4.4966102304e-05,4.4966102304e-05,0.111828797214002,1.92796064689593
41,250,VNM,Vietnam,5,Đắk Lắk,41,Ea Kar,VN.DC.EK,,,Huyện,District,,,0.08664496,1.98675246,40,VN,41,BlockApportionment:VN.Districts,1,78365,77526,23292,21349,16894,11096,4895,24443,22559,17178,10577,3607,47735,43908,34072,21673,8502,38197,4.1,41,0,4.4966102304e-05,4.4966102304e-05,0.086645489340526,1.98662505338728
42,250,VNM,Vietnam,5,Đắk Lắk,42,Ea Súp,VN.DC.ES,,,Huyện,District,,Ea Sup,0.14711236,1.8607046,41,VN,42,BlockApportionment:VN.Districts,1,32338,30159,9846,8600,6552,3588,1573,10770,9822,7116,3495,1135,20616,18422,13668,7082,2708,15056,4.2,42,0,4.4966102304e-05,4.4966102304e-05,0.147112090920928,1.86028722601102
43,250,VNM,Vietnam,5,Đắk Lắk,43,Krông Ana,VN.DC.KA,,,Huyện,District,,Krong Ana,0.05378813,1.67083821,42,VN,43,BlockApportionment:VN.Districts,1,99108,97511,30943,26657,20404,12505,7001,32279,28868,20634,12257,5071,63222,55525,41038,24762,12072,44762,4.4,43,0,4.4966102304e-05,4.4966102304e-05,0.053788304991031,1.67080455141347
44,250,VNM,Vietnam,5,Đắk Lắk,44,Krông Bông,VN.DC.KB,,,Huyện,District,,Krong Bong,0.10442085,2.10800117,43,VN,44,BlockApportionment:VN.Districts,1,47419,46438,15853,13245,9069,4924,3348,16488,14523,9448,4694,2266,32341,27768,18517,9617,5614,20099,4.7,44,0,4.4966102304e-05,4.4966102304e-05,0.104420593417672,2.10752706458533
45,250,VNM,Vietnam,5,Đắk Lắk,45,Krông Buk,VN.DC.KK,,,Huyện,District,,Krong Buk,0.05313072,1.37197536,44,VN,45,BlockApportionment:VN.Districts,1,83569,82109,26639,22399,18157,9329,5584,27811,23592,18996,9259,3911,54450,45991,37154,18588,9495,37578,4.4,45,0,4.4966102304e-05,4.4966102304e-05,0.05313044493198,1.3719581167096
46,250,VNM,Vietnam,5,Đắk Lắk,46,Krông Năng,VN.DC.KN,,,Huyện,District,,Krong Nang,0.0507367,1.27224141,45,VN,46,BlockApportionment:VN.Districts,1,64583,62647,20460,17676,13700,7054,3757,21431,18565,14879,7035,2673,41891,36240,28579,14089,6431,29493,4.3,46,0,4.4966102304e-05,4.4966102304e-05,0.0507366336617,1.27209722912131
47,250,VNM,Vietnam,5,Đắk Lắk,47,Krông Pắk,VN.DC.KP,,,Huyện,District,,Krong Pac |Krong Pak,0.05229469,1.44452862,46,VN,47,BlockApportionment:VN.Districts,1,108008,106489,32124,28988,23045,14053,8279,34255,31339,22968,13487,5959,66380,60327,46013,27540,14237,49702,4.3,47,0,4.4966102304e-05,4.4966102304e-05,0.05229486844587,1.44451552748219
48,250,VNM,Vietnam,5,Đắk Lắk,48,Lăk,VN.DC.LA,,,Huyện,District,,Lak,0.10420613,2.05776012,47,VN,48,BlockApportionment:VN.Districts,1,36350,36850,12571,10750,6778,4251,2500,12673,11321,6803,3856,1698,25244,22071,13580,8106,4197,16578,4.4,48,0,4.4966102304e-05,4.4966102304e-05,0.104206712474479,2.05623274383569
49,250,VNM,Vietnam,5,Đắk Lắk,49,M'Đrăk,VN.DC.MD,,,Huyện,District,,M'Drak,0.11173092,1.93669558,48,VN,49,BlockApportionment:VN.Districts,1,36003,34644,11733,9549,6914,4237,2211,12252,10810,7188,4161,1593,23985,20359,14102,8398,3804,16221,4.4,49,0,4.4966102304e-05,4.4966102304e-05,0.111731544939289,1.93661882329562
50,250,VNM,Vietnam,6,Điện Biên,50,Điện Biên Đông,VN.DB.DD,,,Huyện,District,,Dien Bien Dong,0.10450631,1.70412263,49,VN,50,BlockApportionment:VN.Districts,1,31811,31665,12783,10358,4895,2179,1449,13637,9847,4803,2389,1136,26420,20205,9698,4567,2585,11586,5.5,50,0,4.4966102304e-05,4.4966102304e-05,0.104505626966102,1.70334693073504
51,250,VNM,Vietnam,6,Điện Biên,51,Điện Biên,VN.DB.DB,,,Huyện,District,,Dien Bien,0.14126396,3.16016846,50,VN,51,BlockApportionment:VN.Districts,1,52174,52354,14744,16320,10916,6212,4163,15523,16778,10701,5886,3286,30267,33098,21618,12098,7448,24804,4.2,51,0,4.4966102304e-05,4.4966102304e-05,0.141264741206442,3.15825579929099
52,250,VNM,Vietnam,6,Điện Biên,52,Điên Biên Phủ,VN.DB.DP ,,,Than Pho,City,,Dien Bien Phu,0.0055549,0.37741041,51,VN,52,BlockApportionment:VN.Districts,1,34966,35421,8247,10437,8184,5703,2851,8840,10630,7666,5404,2427,17086,21067,15849,11107,5277,20323,3.5,52,0,4.4966102304e-05,4.4966102304e-05,0.005554307485227,0.377289256902134
53,250,VNM,Vietnam,6,Điện Biên,53,Mường Chà,VN.DB.MC,,,Huyện,District,,Muong Cha,0.15348075,2.3030371,52,VN,53,BlockApportionment:VN.Districts,1,26692,26305,11274,7420,4280,2083,1247,11865,7517,4338,2099,874,23139,14937,8619,4182,2121,9693,5.5,53,0,4.4966102304e-05,4.4966102304e-05,0.153479594404189,2.30160076314808
54,250,VNM,Vietnam,6,Điện Biên,54,Mường Lay,VN.DB.ML,,,Thi xa,Township,,Muong Lay,0.0098816,0.52932744,53,VN,54,BlockApportionment:VN.Districts,1,11555,11704,3665,2983,2336,1648,1072,3768,3148,2284,1547,809,7432,6130,4619,3196,1881,5572,4.2,54,0,4.4966102304e-05,4.4966102304e-05,0.009882033303711,0.529048887412003
55,250,VNM,Vietnam,6,Điện Biên,55,Mường Nhé,VN.DB.MN,,,Huyện,District,,My Tho,0.21933632,3.34644756,54,VN,55,CentroidsInPolygon:VN.Districts,1,18043,17088,7877,4761,2675,1092,683,8654,4791,2930,1148,520,16531,9552,5605,2240,1203,6459,5.4,55,0,4.4966102304e-05,4.4966102304e-05,0.219337411057495,3.34444772198001
56,250,VNM,Vietnam,6,Điện Biên,56,Tủa Chùa,VN.DB.TC,,,Huyện,District,,Tua Chua,0.05937423,1.19978287,55,VN,56,BlockApportionment:VN.Districts,1,26607,26631,10667,8201,4240,2073,1450,11200,8073,4133,2145,1056,21867,16274,8373,4218,2506,10255,5.2,56,0,4.4966102304e-05,4.4966102304e-05,0.059375703203614,1.19910959355732
57,250,VNM,Vietnam,6,Điện Biên,57,Tuần Giáo,VN.DB.TG,,,Huyện,District,,Tuan Giao,0.13814827,1.74443151,56,VN,57,BlockApportionment:VN.Districts,1,64135,64521,22382,20484,11843,5766,4047,23446,20523,11223,5697,3247,45828,41007,23066,11462,7294,26179,4.9,57,0,4.4966102304e-05,4.4966102304e-05,0.138149082055406,1.7435706464274
58,250,VNM,Vietnam,7,An Giang,58,An Phú,VN.AG.AP,,,Huyện,District,,An Phu,0.01819312,0.71173793,57,VN,58,BlockApportionment:VN.Districts,1,90413,90850,22454,26807,21291,12341,7957,23682,28764,21713,9947,6308,46136,55571,43004,22287,14264,44008,4.1,58,0,4.4966102304e-05,4.4966102304e-05,0.018192587667613,0.711697419629932
59,250,VNM,Vietnam,7,An Giang,59,Châu Phú,VN.AG.CP,,,Huyện,District,,Chau Phu,0.03733216,0.90406545,58,VN,59,BlockApportionment:VN.Districts,1,124973,126120,30530,35789,30498,17609,11693,32238,38062,31434,13453,9787,62768,73851,61932,31062,21480,60115,4.2,59,0,4.4966102304e-05,4.4966102304e-05,0.037331850744522,0.903921678564631
60,250,VNM,Vietnam,7,An Giang,60,Châu Thành,VN.AG.CT,,,Huyện,District,,Chau Thanh,0.02932314,0.80316476,59,VN,60,BlockApportionment:VN.Districts,1,86846,85326,20936,24672,20790,11655,7273,22608,26947,21644,9514,6133,43544,51619,42434,21169,13406,41727,4.1,60,0,4.4966102304e-05,4.4966102304e-05,0.029323928186841,0.80292171344154
61,250,VNM,Vietnam,7,An Giang,61,Chợ Mới,VN.AG.CM,,,Huyện,District,,Cho Moi,0.03056912,0.83750722,60,VN,61,BlockApportionment:VN.Districts,1,176438,178274,40902,46212,43880,28136,19145,43173,50810,44929,22935,14591,84075,97022,88809,51071,33735,87327,4.1,61,0,4.4966102304e-05,4.4966102304e-05,0.03056823137581,0.837289220977516
62,250,VNM,Vietnam,7,An Giang,62,Chau Doc,VN.AG.CD,,,Thi xa,Township,,,0.00849381,0.45179431,61,VN,62,BlockApportionment:VN.Districts,1,56512,59755,13338,15855,15044,10164,5354,14236,16289,14149,8105,3732,27574,32144,29193,18269,9086,29614,3.9,62,0,4.4966102304e-05,4.4966102304e-05,0.008492893134758,0.45173063733912
63,250,VNM,Vietnam,7,An Giang,63,Long Xuyen Township,VN.AG.LX,,,Than Pho,City,,Long Xuyen,0.00944674,0.45911588,62,VN,63,BlockApportionment:VN.Districts,1,137164,146726,29883,44221,36245,23683,12693,31657,42135,35283,19166,8922,61541,86356,71529,42849,21616,69932,4.1,63,0,4.4966102304e-05,4.4966102304e-05,0.009446159812342,0.458985787087836
64,250,VNM,Vietnam,7,An Giang,64,Phú Tân,VN.AG.PT,,,Huyện,District,,Phu Tan,0.02701023,0.91462369,63,VN,64,BlockApportionment:VN.Districts,1,109111,110973,24847,29688,28217,16945,11275,26362,31639,28613,13397,9100,51209,61327,56831,30343,20375,56417,3.9,64,0,4.4966102304e-05,4.4966102304e-05,0.027010223524371,0.914541157068487
65,250,VNM,Vietnam,7,An Giang,65,Tân Châu,VN.AG.TC,,,Huyện,District,,Tan Chau,0.0140507,0.66311686,64,VN,65,BlockApportionment:VN.Districts,1,84055,86239,19860,22906,21160,13923,8390,21233,24491,21082,10961,6288,41093,47397,42242,24885,14678,43372,3.9,65,0,4.4966102304e-05,4.4966102304e-05,0.014051553236413,0.663018329112548
66,250,VNM,Vietnam,7,An Giang,66,Tịnh Biên,VN.AG.TB,,,Huyện,District,,Tinh Bien,0.02908175,0.7491654,65,VN,66,BlockApportionment:VN.Districts,1,60430,62607,16350,18044,14009,8984,5220,16928,18809,13957,6838,3899,33278,36853,27966,15822,9118,30458,4,66,0,4.4966102304e-05,4.4966102304e-05,0.029081299967515,0.748764474376841
67,250,VNM,Vietnam,7,An Giang,67,Thoại Sơn,VN.AG.TS,,,Huyện,District,,Thoai Son,0.03869661,0.98740544,66,VN,67,BlockApportionment:VN.Districts,1,93237,92189,22079,26771,22690,13074,7576,23438,29740,23127,10767,6165,45517,56510,45816,23841,13741,43620,4.3,67,0,4.4966102304e-05,4.4966102304e-05,0.038696249612713,0.987226383740416
68,250,VNM,Vietnam,7,An Giang,68,Tri Tôn,VN.AG.TT,,,Huyện,District,,Tri Ton,0.04948143,1.05193406,67,VN,68,BlockApportionment:VN.Districts,1,67702,69108,17979,20125,15142,9753,6108,18785,21493,15144,7487,4793,36764,41619,30286,17240,10901,33964,4,68,0,4.4966102304e-05,4.4966102304e-05,0.049481905618791,1.05154855292113
69,250,VNM,Vietnam,8,Bà Rịa - Vũng Tàu,69,Đất Đỏ,VN.BV.DD,,,Huyện,District,,Dat Do,0.01513042,0.81260928,68,VN,69,BlockApportionment:VN.Districts,1,34137,34087,8037,9691,7793,5292,3274,8452,10786,8336,4541,2022,16489,20477,16129,9833,5296,17780,3.8,69,0,4.4966102304e-05,4.4966102304e-05,0.015114783033255,0.781138164749049
70,250,VNM,Vietnam,8,Bà Rịa - Vũng Tàu,70,Ba Ria,VN.BV.BR,,,Thi xa,Township,,,0.00713546,0.71677453,69,VN,70,BlockApportionment:VN.Districts,1,50057,53134,11818,15731,12436,8376,4773,12435,14789,12423,7587,2823,24253,30520,24860,15963,7596,27059,3.8,70,0,4.4966102304e-05,4.4966102304e-05,0.007130095796811,0.706335242723088
